Fulltime Business Week Ranking,School Name,State,Type,Enrollment,Avg GMAT,"Resident Tuition, Fees",Pct International,Pct Female,Pct Asian American,Pct Minority,Pct with job offers,Avg starting base salary
1,University of Chicago,Illinois,Private,1144,713,97165,35,35,16,7,92,107091
2,Harvard University,Massachusetts,Private,1801,720,101660,33,38,,,94,124378
3,Northwestern University,Illinois,Private,1200,711,93918,34,36,25,13,95,108064
4,University of Pennsylvania,Pennsylvania,Private,1651,714,104410,44,36,7.8,9,89,112186
5,University of Michigan,Michigan,Public,898,706,80879,27,34,21,13,89,103608
6,Stanford University,California,Private,739,726,97842,43,36,,,94,121171
7,Columbia University,New York,Private,1234,,94104,33,32,12,13,87,107450
8,Duke University,North Carolina,Private,878,696,95000,40,39,19,12,92,100136
9,Massachusetts Institute of Technology,Massachusetts,Private,780,708,46784,36,35,14,9,92,111184
10,University of California-Berkeley,California,Private,500,714,66475,39,30,29,4,90,108967
11,Cornell University,New York,Public,593,694,93000,27,39,15,7,84,100700
12,Dartmouth College,New Hampshire,Private,506,712,91905,31,33,8,13,94,110305
13,New York University,New York,Private,832,708,89184,32,41,14,15,84,101063
14,UCLA,California,Public,731,711,66590,32,34,14,6,80,101306
15,Indiana University,Indiana,Public,473,663,40882,37,26,12,13,88,92000
16,University of Virginia,Virginia,Public,644,693,84000,30,29,6,9,92,103963
17,University of North Carolina-Chapel Hill,North Carolina,Public,562,678,43503,32,32,5,10,82,95647
18,Southern Methodist University,Texas,Private,201,642,81384,18,28,7,8,80,84828
19,Carnegie Mellon University,Pennsylvania,Private,392,690,93840,23,21,25,12,96,103012
20,University of Notre Dame,Indiana,Private,316,677,77340,28,24,10,9,80,89660
21,University of Texas -- Austin,Texas,Public,552,681,48800,24,31,11,11,88,96537
22,Brigham Young University,Utah,Private,315,673,18530,10,20,,5,78,88958
23,Emory University,Georgia,Private,373,680,82856,42,39,8,14,82,93620
24,Yale University,Connecticut,Private,382,718,93098,28,34,14,11,89,99562
25,University of Southern California,California,Private,525,692,88800,34,29,23,6,88,91863
26,University of Maryland,Maryland,Public,257,660,60583,35,29,18,11,81,85225
27,University of Washington,Washington,Public,225,688,43556,18,36,15,5,85,86426
28,Washington University,Missouri,Private,294,681,83172,34,37,7,12,81,90775
29,Georgia Institute of Technology,Georgia,Public,156,681,17816,19,27,7,5,98,93403
30,Vanderbilt University,Tennessee,Private,382,656,81076,18,25,7,6,83,89891
Second Tier,Arizona State University,Arizona,Public,159,676,34082,26,25,3,4,80,86065
Second Tier,Babson College,Massachusetts,Private,387,630,72184,41,37,14,11,62,92296
Second Tier,Boston University ,Massachusetts,Private,315,680,73996,32,45,14,8,88,89543
Second Tier,George Washington University,Washington D.C.,Private,201,643,65550,27,45,9,4,68,83746
Second Tier,Georgetown University,Washington D.C.,Private,521,678,83868,24,30,17,5,91,94137
Second Tier,Illinois at Urbana-Champaign,Illinois,Public,198,639,42004,45,34,16,15,75,90317
Second Tier,Michigan State University ,Michigan,Public,214,642,40937,30,22,22,13,86,90951
